5,4,4,4,4,4,4,4,4.02
5,3,2,3,5,3,1,3,3.39
4,2,4,3,3,2,4,3,3.27
5,3,5,4,5,4,4,3,4.27
5,4,5,5,5,4,5,5,4.84
5,3,5,5,4,3,3,4,3.88
4,4,5,3,3,2,5,5,4.11
4,2,5,5,4,2,5,3,3.97
4,2,4,3,3,2,1,5,3.25
5,4,5,4,5,5,4,1,4.52
5,4,4,5,3,4,1,2,3.81
5,5,5,3,4,4,5,2,4.39
5,4,2,2,3,3,4,5,3.31
4,4,5,5,5,2,1,3,3.95
4,4,5,5,5,3,5,4,4.55
5,5,5,5,5,5,4,3,4.83
5,5,5,4,5,5,3,4,4.69
5,4,1,3,3,3,1,4,2.75
4,2,3,4,2,1,3,4,3.11
5,4,3,4,5,3,1,4,3.95
5,3,5,5,5,5,4,5,4.83
5,3,5,4,5,3,1,5,4.23
4,4,5,3,4,3,1,3,3.67
5,4,5,2,4,4,5,5,4.53
5,4,4,3,5,4,1,2,3.81
5,4,4,4,5,3,1,3,3.95
5,4,5,4,5,2,3,4,4.25
3,3,5,4,3,1,1,2,2.47
3,3,5,4,5,3,4,5,4.13
5,4,5,3,5,4,4,5,4.55
5,3,5,5,3,4,4,4,4.27
5,3,5,3,5,2,4,1,3.81
5,4,5,3,4,2,3,2,3.31
5,2,5,4,2,1,3,3,3.39
5,3,5,5,4,1,4,5,4.38
4,2,3,3,1,1,2,2,2.03
5,3,5,5,5,2,4,5,4.53
5,4,5,5,5,5,4,5,4.84
5,3,5,5,4,2,3,5,4.25
5,3,5,5,4,3,4,5,4.41
5,4,5,5,5,3,4,4,4.55
5,3,5,4,4,2,1,5,3.95
5,3,5,2,4,2,1,2,2.75
4,3,5,5,4,2,4,4,4.11
5,4,5,5,5,1,4,5,4.66
5,4,5,3,5,1,1,3,3.67
5,3,5,5,4,1,1,5,3.95
5,3,5,5,5,1,1,5,4.09
5,2,5,3,4,1,1,5,3.53
4,4,5,4,5,1,4,5,4.38
4,3,4,4,5,2,4,2,3.31
5,3,4,5,5,1,4,5,4.38
5,4,5,5,5,2,4,5,4.67
4,4,5,5,4,1,4,4,4.23
4,4,4,4,5,1,4,3,3.95
4,3,5,4,5,1,4,4,4.09
4,4,5,4,5,2,4,4,4.25
5,4,5,5,5,4,4,5,4.7
4,4,5,5,5,2,4,4,4.39
5,4,5,4,3,1,2,2,3.53
4,3,5,4,3,2,3,3,3.17
5,4,5,4,5,3,3,4,4.27
5,4,5,3,5,3,4,5,4.41
5,4,5,4,3,1,3,5,4.09
5,2,5,5,3,4,4,4,4.25
5,4,5,4,5,2,4,4,4.39
5,5,5,5,5,2,4,5,4.81
5,5,5,5,5,4,4,5,4.84
5,4,5,5,5,4,4,5,4.7
5,4,5,5,5,4,4,5,4.7
5,4,5,5,4,4,4,5,4.44
5,4,5,5,5,4,4,5,4.7
5,4,5,5,5,5,4,5,4.84
5,3,5,5,5,3,4,5,4.55
5,4,5,4,3,4,1,5,4.23
4,3,5,4,4,2,3,5,3.97
4,4,5,3,4,2,3,4,3.83
4,4,5,4,4,3,4,3,3.73
5,4,5,4,5,3,4,3,4.27
4,5,5,3,5,5,4,3,4.41
5,4,5,5,4,3,4,4,4.41
4,4,5,4,5,3,4,4,4.27
5,4,5,5,5,5,4,5,4.84
4,3,5,5,5,3,4,4,4.27
5,4,5,5,4,2,1,5,4.23
5,4,5,5,4,2,2,2,3.83
5,4,5,5,4,4,1,4,4.38
4,4,5,5,5,2,1,5,4.23
5,5,5,5,4,3,3,5,4.55
5,5,5,5,4,3,3,5,4.55
5,2,5,4,5,3,3,5,4.25
5,3,5,5,5,3,4,4,4.41
5,4,5,5,4,2,2,4,4.11
4,4,5,5,5,3,3,4,4.27
5,4,5,5,5,3,3,5,4.55
5,5,5,5,5,4,4,5,4.84
5,4,5,5,4,1,4,3,4.23
5,4,5,1,3,2,1,3,2.75
4,2,3,2,4,1,1,3,2.31
4,1,1,2,2,1,1,2,1.47
5,4,5,3,4,4,4,4,4.27
5,4,3,3,4,4,4,5,3.88
5,5,5,4,5,4,4,5,4.7
3,4,4,3,3,2,3,4,3.41
4,1,1,2,1,1,1,4,1.61
4,3,4,4,3,2,4,3,3.55
5,3,4,3,3,1,1,4,2.75
4,3,4,4,4,1,5,4,3.95
3,3,2,3,3,1,1,5,2.33
4,3,2,1,3,2,5,1,2.33
4,3,2,1,3,2,5,1,2.33
4,3,4,4,4,1,1,5,3.53
3,3,3,2,3,3,1,3,2.83
4,3,5,4,4,1,1,2,2.75
5,3,4,4,4,3,1,4,3.81
4,2,4,3,3,1,1,2,2.31
4,1,2,4,2,1,1,1,1.75
5,2,4,3,3,5,1,5,3.81
4,3,3,3,3,1,1,4,2.97
5,4,5,3,5,3,1,5,4.23
5,4,5,4,5,5,5,4,4.7
5,4,4,3,4,4,3,5,3.88
5,4,4,3,4,4,3,4,3.73
5,4,4,4,4,2,3,3,3.83
5,4,4,3,4,3,2,5,3.97
5,5,4,4,5,5,3,5,4.69
5,4,5,3,5,3,2,2,3.83
5,3,4,4,4,1,1,1,2.61
4,2,2,2,3,1,1,4,2.17
5,4,5,3,3,3,3,2,3.31
5,4,4,4,4,5,1,5,4.38
4,5,4,4,4,5,5,5,4.56
5,4,5,4,4,4,5,5,4.44
3,3,4,3,4,1,3,1,2.97
5,3,3,3,3,3,2,1,2.61
2,1,1,1,1,1,1,4,1.19
5,4,4,3,5,4,5,1,4.23
4,3,3,3,4,4,5,1,3.67
5,4,3,3,4,4,1,5,3.95
5,4,4,4,4,3,3,1,3.81
3,2,1,3,2,1,1,2,1.73
4,3,4,4,4,4,1,4,3.81
5,3,3,3,5,1,1,2,2.61
4,4,3,3,3,2,3,5,3.17
5,5,4,3,5,3,1,3,3.95
5,4,4,4,5,3,3,4,3.88
5,4,5,4,4,4,2,4,4.25
5,3,5,4,5,1,2,5,4.09
5,2,4,4,4,1,3,5,3.81